index,DOI,Donor_SMILES,Acceptor_SMILES
78,10.1002/adma.201405429,,CCCC[C@H](C[n+]1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(s1)/C(=C/c1cc(OC)c(cc1OC)/C=C(/c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)\C#N)/C#N)CC
93,10.1039/c5ra16696a,,CCCCCCCCN1C(=O)/C(=C/2\c3ccc(cc3N(C2=O)CCCCCCCC)c2ccc(s2)c2ccc3c4c2cccc4c(=O)[n+](c3=O)C(CC)CC)/c2c1cc(cc2)c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C(CC)CC
95,10.1039/c5ra16696a,,CCCCCCCCN1C(=O)/C(=C/2\c3cc(Cl)c(cc3N(C2=O)CCCCCCCC)c2ccc(s2)c2ccc3c4c2cccc4c(=O)[n+](c3=O)C(CC)CC)/c2c1cc(c(c2)Cl)c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C(CC)CC
96,10.1039/c9ra01750j,CCCC[C@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C/c1c(CC)c(c2n1[B](F)(F)n1c([C]2c2ccc(cc2)N(=O)=O)c(c(c1/C=C/c1ccc2c(c1)Sc1c(N2C[C@H](CCCC)CC)cccc1)CC)C)C)CC,
124,10.1039/c5tc01076d,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=CC(=N2)/C(=c\2/cc/c(=C(/C3=N/C(=C(\c4[nH]c1cc4)/c1ccc(cc1)Nc1nc(nc(n1)Nc1ccc(cc1)[C]1c4c(C)cc(n4[B](n4c1c(C)cc4C)(F)F)C)Nc1ccc(cc1)[C]1c4c(C)cc(n4[B](n4c1c(C)cc4C)(F)F)C)/C=C3)\c1c(C)cc(cc1C)C)/[nH]2)/c1ccc(cc1)C(=O)O,
146,10.1039/c8tc05692g,,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
147,10.1039/c8tc05692g,,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
162,10.1039/c9ra01750j,CCCC[C@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C/c1c(CC)c(c2n1[B](F)(F)n1c([C]2c2ccc(cc2)N(c2ccccc2)c2ccccc2)c(c(c1/C=C/c1ccc2c(c1)Sc1c(N2C[C@H](CCCC)CC)cccc1)CC)C)C)CC,
170,10.1039/c9ra01750j,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)[C]1c2c(C)c(c(n2[B](n2c1c(C)c(c2/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC)(F)F)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC)CC,
178,10.1039/c5tc01348h,CCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)[C]1N(C[C@@H](CCCC)CC)C(=O)c2c1c(OC[C@@H](CCCC)CC)nc2c1cccs1)c1ccc(s1)[C]1N(C[C@@H](CCCC)CC)C(=O)c2c1c(OC[C@@H](CCCC)CC)nc2c1cccs1,
201,10.1039/c5ta10430k,,CCCCCC[C@@H]([n+]1c(=O)c2cc(c3c4c2c(c1=O)cc1c4c2c(s1)cc1c4c2c3ccc4c(=O)[n+](c1=O)C(CCCCC)CCCCC)c1cc2c(=O)[n+](C(CCCCC)CCCCC)c(=O)c3c2c2c1c1ccc4c5c1c1c2c(c3)sc1cc5c(=O)[n+](c4=O)C(CCCCC)CCCCC)CCCCC
244,10.1002/aelm.201600152,c1ccc(cc1)c1c2ccccc2c2n1[B]1(c3ccccc3c3c1cccc3)n1c([N]2)c2c(c1c1ccccc1)cccc2,
245,10.1002/aelm.201600152,Cc1ccc(cc1)c1c2ccccc2c2n1[B]1(c3ccccc3c3c1cccc3)n1c([N]2)c2c(c1c1ccc(cc1)C)cccc2,
246,10.1002/aelm.201600152,Cc1ccc(s1)[C@@H]1c2ccccc2C2=Nc3n([B]4(N12)c1ccccc1c1c4cccc1)c(c1ccc(s1)C)c1c3cccc1,
283,10.1039/c9nj00550a,CCCC[C@@H]([Ge@]1([C@H](CCCC)CC)c2cc(sc2c2c1cc(s2)c1ccc(s1)[C]1c2c(C)cc(n2[B](n2c1c(C)cc2/C=C/c1ccc(s1)[C@H](CCCC)CC)(F)F)/C=C/c1ccc(s1)[C@H](CCCC)CC)c1ccc(s1)[C]1c2c(C)cc(n2[B](n2c1c(C)cc2/C=C/c1ccc(s1)[C@H](CCCC)CC)(F)F)/C=C/c1ccc(s1)[C@H](CCCC)CC)CC,
329,10.1039/c9nj00550a,CCCC[C@@H](C[Si@]1(C[C@H](CCCC)CC)c2cc(sc2c2c1cc(s2)c1ccc(s1)[C]1c2c(C)cc(n2[B](n2c1c(C)cc2/C=C/c1ccc(s1)C[C@@H](CCCC)CC)(F)F)/C=C/c1ccc(s1)C[C@@H](CCCC)CC)c1ccc(s1)[C]1c2c(C)cc(n2[B](n2c1c(C)cc2/C=C/c1ccc(s1)C[C@@H](CCCC)CC)(F)F)/C=C/c1ccc(s1)C[C@@H](CCCC)CC)CC,
374,10.1016/j.orgel.2017.06.054,CCCCCCCCC1(CCCCCCCC)c2cc(C#Cc3cc4n(c3)[B](F)(F)n3c([C]4c4ccc(cc4)OCCCCCCCC)ccc3)ccc2c2c1cc(C#Cc1cc3n(c1)[B](F)(F)n1c([C]3c3ccc(cc3)OCCCCCCCC)ccc1)cc2,
399,10.1016/j.orgel.2017.06.054,CCCCCCCCOc1c2cc(sc2c(c2c1sc(c2)C#Cc1cc2n(c1)[B](F)(F)n1c([C]2c2ccc(cc2)OCCCCCCCC)ccc1)OCCCCCCCC)C#Cc1cc2n(c1)[B](F)(F)n1c([C]2c2ccc(cc2)OCCCCCCCC)ccc1,
406,10.1039/c7ra04196a,CCCC[C@@H](CN1[C](c2ccc(s2)c2sc(c3c2OCCO3)c2ccc(s2)[C]2N(C[C@H](CCCC)CC)C(=O)c3c2c(OC[C@@H](CCCC)CC)nc3c2cccs2)c2c(C1=O)c(nc2OC[C@@H](CCCC)CC)c1cccs1)CC,
419,10.1021/jacs.7b07887,Cc1ccc(cc1)c1oc2c(c1)n1c(c2)[C](c2n([B]1(F)F)c1cc(oc1c2)c1ccc(cc1)C)C(F)(F)F,
420,10.1021/jacs.7b07887,COc1ccc(cc1)c1oc2c(c1)n1c(c2)[C](c2n([B]1(F)F)c1cc(oc1c2)c1ccc(cc1)OC)C(F)(F)F,
423,10.1016/j.orgel.2017.06.054,CCCCCCCCn1c2cc(C#Cc3cc4n(c3)[B](F)(F)n3c([C]4c4ccc(cc4)OCCCCCCCC)ccc3)ccc2c2c1cc(C#Cc1cc3n(c1)[B](F)(F)n1c([C]3c3ccc(cc3)OCCCCCCCC)ccc1)cc2,
424,10.1016/j.orgel.2017.06.054,CCCCCCCCN1c2cc(C#Cc3cc4n(c3)[B](F)(F)n3c([C]4c4ccc(cc4)OCCCCCCCC)ccc3)ccc2Sc2c1cc(C#Cc1cc3n(c1)[B](F)(F)n1c([C]3c3ccc(cc3)OCCCCCCCC)ccc1)cc2,
442,10.1021/acs.jpclett.9b01222,Fc1ccc(cc1)c1oc2c(c1)n1c(c2)[CH]c2n([B]1(F)F)c1cc(oc1c2)c1ccc(cc1)F,
449,10.1021/acs.jpcc.7b09365,Cl[B]12n3c4nc5n2c(nc2n1c(nc3c1c4cccc1)c1c2cccc1)c1c5cccc1,
483,10.1039/c8ta01291a,[H]C(C([H])C1C(CCC2SC(C([H])C2[H])C2C3C(O)N(C(C4SC([H])C([H])C4[H])C3C(O)N2C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C2C(C3C(C(CCC4SC(C([H])C4[H])C4C5C(O)N(C(C6SC([H])C([H])C6[H])C5C(O)N4C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])C([H])C4SC(C([H])C4[H])C4C5C([H])C([H])C6C(C7C([H])C([H])C8C(C9C([H])C([H])C%10C(C%11C([H])C([H])C4N%11[Zn](N56)(N78)N9%10)C4C([H])C([H])C([H])C([H])C4[H])C4C([H])C([H])C([H])C([H])C4[H])C4C([H])C([H])C([H])C([H])C4[H])N3[B](F)(F)N12)C([H])([H])[H])C1C(C([H])C(C([H])C1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C1SC(C([H])C1[H])C1C2C([H])C([H])C3C(C4C([H])C([H])C5C(C6C([H])C([H])C7C(C8C([H])C([H])C1N8[Zn](N23)(N45)N67)C1C([H])C([H])C([H])C([H])C1[H])C1C([H])C([H])C([H])C([H])C1[H])C1C([H])C([H])C([H])C([H])C1[H],
520,10.1016/j.orgel.2018.05.049,CCCCCCCCOc1ccc(cc1)[C]1c2cc(cn2[B](n2c1cc(c2)C#Cc1sc2c(c1)c(OCCCCCCCC)c1c(c2OCCCCCCCC)ccs1)(F)F)C#Cc1sc2c(c1)c(OCCCCCCCC)c1c(c2OCCCCCCCC)ccs1,
540,10.1016/j.dyepig.2017.11.060,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)C1SC3N(C1)[B](c1c3sc(c1)c1ccc(s1)c1n(C[C@@H](CCCC)CC)c(=O)c3c1c(=O)n(c3c1cccs1)C[C@H](CCCC)CC)(c1c(C)cc(cc1C)C)c1c(C)cc(cc1C)C)c(=O)n(c2c1cccs1)C[C@H](CCCC)CC)CC,
541,10.1016/j.dyepig.2017.11.060,CCCCCCCCc1cc2c(s1)CC(=[S]2)c1ccc(s1)c1c2c(=O)n(c(c2c(=O)n1C[C@H](CCCC)CC)c1ccc(s1)c1sc2c(c1)[B](N1C2SC(C1)c1ccc(s1)c1n(C[C@@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1sc2c(c1)sc(c2)CCCCCCCC)C[C@H](CCCC)CC)(c1c(C)cc(cc1C)C)c1c(C)cc(cc1C)C)C[C@@H](CCCC)CC,
