index,DOI,SMILES
0,10.1016/dyepig.2015.04.037,[C@@]123[C@@]4([C@@H]5[C@@H]6[C@@H]7[C@H]1[C@H]1[C@@H]8[C@@H]9[C@H]%10[C@H]%11[C@@H]%12[C@H]%13[C@@H]%14[C@@H]%15[C@H]%16[C@H]%17[C@@H]%18[C@H]%19[C@H]%20[C@H]%21[C@@H]([C@H]%15%18)[C@H]%15[C@@H]%14[C@@H]%12[C@@H]9[C@@H]9[C@H]%15[C@H]%21[C@H]([C@@H]6[C@H]%20[C@H]6[C@@H]5[C@@H]5[C@@H]%12[C@H]([C@@H]%196)[C@H]%17[C@H]6[C@@H]%12[C@H]%12[C@H]([C@H]%14[C@@H]3[C@@H]1[C@@H]%10[C@@H]1[C@H]%14[C@H]%12[C@@H]3[C@H]6[C@H]%16[C@H]%13[C@@H]3[C@H]%111)[C@H]45)[C@H]7[C@H]89)[C@@]2(c1ccccc1)CCCC(=O)OC
1,10.1016/dyepig.2015.04.037,c12[C@]34c5c6c1c1c7c8c6c6c9c5c5c%10[C@@]3(c3c%11c2c2c1c1c7c7c%12c%13c%14c%15c%16c%17c%18c%15c%15c%13c%13c%19c%15c%15c%18c%18c%20c%17c%17c%21c%16c%16c%14c%12c1c1c%16c%21c(c%11c21)c1c%17c%20c(c%10c31)c1c%18c%15c(c9c51)c%19c6c8c7%13)[C@@]4(c1ccccc1)CCCC(=O)OC
7,10.1016/j.orgel.2015.07.050,c12c3c4c5c6c1c1c7c6c6c8c5c5c4c4c9c3c3c2c2c1c1c%10c2c2c3c3c%11c%12c%13c%14c%15c%16c%17c%18c%19c%20c%21c(c%12c%14c%17%20)c(c%10c%21c%10c1c7c(c6c%18c8c%16c5c%15c4c%13c93)c%19%10)c2%11
8,10.1016/j.orgel.2015.07.050,c12c3c4c5c1c1c6c7c5c5c8c4c4c9c3c3c%10c9c9c%11c4c8c4c8c%12c%13c%14c%15c%16c%17c%18c(c6c6c7c7c(c%15c%176)c%13c4c57)c4c1c1c2c3c2c1c1c4c%18c3c4c1c1c5c(c%10c21)c9c(c%118)c1c%12c%14c(c%163)c4c51
11,10.1021/am507581w,CCCC[C@@H](C[N+]1C(=O)[C@H]2C[C@@H](c3ccc(s3)[C@@H]3C[C@@H]4C(=O)[N+](C[C@H](CCCC)CC)C(=O)[C@@H]5[C@@H]4[C@H]4[C@H]3[C@@H]3CC[C@H]6[C@H]7[C@@H]3[C@@H]([C@H]4CC5)CC[C@H]7C(=O)[N+](C6=O)C[C@H](CCCC)CC)[C@H]3[C@@H]4[C@H]2[C@@H](C1=O)CC[C@@H]4[C@@H]1[C@@H]2[C@H]3CC[C@H]3[C@@H]2[C@H](CC1)C(=O)[N+](C3=O)C[C@H](CCCC)CC)CC
40,10.1002/adma.201807842,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2c(c3c1c1sc(cc1s3)CC1=C(C(C#N)C#N)c3c(C1=O)cccc3)sc1c2sc2c1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC
47,10.1016/j.orgel.2019.01.026,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc1c3sc(cc3C(c1c2)(CCCCCC)CCCCCC)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cccc2
78,10.1002/adma.201405429,CCCC[C@H](C[n+]1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(s1)/C(=C/c1cc(OC)c(cc1OC)/C=C(/c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)\C#N)/C#N)CC
79,10.1039/c4ta06256f,[C@H]12[C@]34[C@@]5([C@@H]6[C@@H]7[C@H]1[C@H]1[C@H]8[C@@H]7[C@H]7[C@H]9[C@@H]6[C@H]6[C@@H]5[C@H]5[C@H]%10[C@@H]3[C@H]3[C@@H]2[C@H]2[C@@H]1[C@@H]1[C@@H]%11[C@H]2[C@@H]2[C@H]3[C@H]3[C@@H]%12[C@@H]%13[C@H]%14[C@@H]%15[C@H]%16[C@H]%17[C@@H]%18[C@H]%19[C@H]%20[C@]%21%22[C@]%23([C@@H]([C@H]%13[C@H]%15[C@H]%18%21)[C@H]([C@@H]%11[C@H]%23[C@H]%11[C@@H]1[C@@H]8[C@@H]([C@@H]7[C@H]%19[C@@H]9[C@H]%17C6=C%16[C@@H]5[C@H]%14[C@@H]%103)[C@@H]%20%11)[C@H]2%12)[C@@H]1[C@H]2[C@H](CCCC2)[C@H]%22C1)[C@H]1[C@@H]2[C@@H](CCCC2)[C@@H]4C1
92,10.1039/c5ra16696a,CCCCCCCCN1[C@@H]2C[C@@H](CC[C@@H]2/C(=C\2/c3ccc(cc3N(C2=O)CCCCCCCC)c2ccc(s2)[C@H]2CC[C@H]3[C@@H](C2)C[NH+](C3)C(CC)CC)/C1=O)[C@@H]1CC[C@@H](S1)[C@H]1CC[C@H]2[C@H](C1)C[NH+](C2)C(CC)CC
93,10.1039/c5ra16696a,CCCCCCCCN1C(=O)/C(=C/2\c3ccc(cc3N(C2=O)CCCCCCCC)c2ccc(s2)c2ccc3c4c2cccc4c(=O)[n+](c3=O)C(CC)CC)/c2c1cc(cc2)c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C(CC)CC
94,10.1039/c5ra16696a,CCCCCCCCN1[C@H]2C[C@H]([C@H]3CC[C@@H](S3)[C@H]3CC[C@H]4[C@H](C3)C[NH+](C4)C(CC)CC)[C@@H](C[C@@H]2/C(=C\2/c3cc(Cl)c(cc3N(C2=O)CCCCCCCC)c2ccc(s2)[C@H]2CC[C@H]3[C@H](C2)C[NH+](C3)C(CC)CC)/C1=O)Cl
95,10.1039/c5ra16696a,CCCCCCCCN1C(=O)/C(=C/2\c3cc(Cl)c(cc3N(C2=O)CCCCCCCC)c2ccc(s2)c2ccc3c4c2cccc4c(=O)[n+](c3=O)C(CC)CC)/c2c1cc(c(c2)Cl)c1ccc(s1)c1ccc2c3c1cccc3c(=O)[n+](c2=O)C(CC)CC
146,10.1039/c8tc05692g,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
147,10.1039/c8tc05692g,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
183,10.1039/c6ta06367e,CCCCCCCCC1(CCCCCCCC)c2cc(sc2c2c1cc1c3sc(cc3C(c1c2)(CCCCCCCC)CCCCCCCC)c1ccc(c2c1nsn2)/C=C/1\SC(=S)N(C1=O)CC)c1ccc(c2c1nsn2)CC1=[S]C(=S)N(C1=O)CC
200,10.1039/c5ta10430k,CCCCCC([N+]1C(=O)[C@H]2C[C@@H]([C@@H]3C[C@H]4[C@H]5[C@H]6[C@H]3[C@@H]3CC[C@H]7[C@H]8[C@@H]3[C@@H]([C@@H]6CC[C@H]5C(=O)[N+](C4=O)C(CCCCC)CCCCC)CC[C@H]8C(=O)[N+](C7=O)C(CCCCC)CCCCC)[C@H]3[C@@H]4[C@H]2[C@H](C1=O)CC[C@@H]4[C@@H]1[C@@H]2[C@H]3CC[C@H]3[C@@H]2[C@@H](CC1)C(=O)[N+](C3=O)C(CCCCC)CCCCC)CCCCC
201,10.1039/c5ta10430k,CCCCCC[C@@H]([n+]1c(=O)c2cc(c3c4c2c(c1=O)cc1c4c2c(s1)cc1c4c2c3ccc4c(=O)[n+](c1=O)C(CCCCC)CCCCC)c1cc2c(=O)[n+](C(CCCCC)CCCCC)c(=O)c3c2c2c1c1ccc4c5c1c1c2c(c3)sc1cc5c(=O)[n+](c4=O)C(CCCCC)CCCCC)CCCCC
255,10.1016/j.orgel.2019.03.011,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)CC1=C(C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)CC1=C(C(C#N)C#N)c2c(C1=O)cccc2
256,10.1002/smll.201804271,CCCC[C@H](CC1(C[C@@H](CCCC)CC)OC2CC(SC2C2C1CC1C3SC(CC3OC(C1C2)(C[C@H](CCCC)CC)C[C@H](CCCC)CC)CC1C(O)C2C(C1C(CN)CN)CC(CC2)F)CC1C(O)C2C(C1C(CN)CN)CC(CC2)F)CC
264,10.1039/c5cc07973j,CCCCCCCCC1(CCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)C=C1C(=O)N(CC)C(=S)N(C1=O)CC)c1ccc(s1)C=C1C(=O)N(CC)C(=S)N(C1=O)CC
276,10.1016/j.orgel.2016.05.012,CCC([N+]1C(=O)[C@H]2CC[C@@H]3[C@H]4[C@H]2[C@@H](C1=O)CC[C@H]4[C@H]1[C@H]2[C@H]3CC[C@H]3[C@@H]2[C@H](CC1)C(=O)[N+](C3=O)C(CC)CC)CC
440,10.1039/c7ta03815a,CCCC[C@H](C[N+]1=C(c2ccc(s2)/C=C/2\SC(=S)N(C2=O)CC)[C@H]2[C@@H](C1=O)C(=[N+](C2=O)C[C@@H](CCCC)CC)c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC)CC
441,10.1039/c7ta03815a,CCCC[C@H](C[N+]1=C(c2ccc(s2)C[C@@H]2SC(=C(C#N)C#N)[N+](C2=O)CC)[C@H]2[C@@H](C1=O)C(=[N+](C2=O)C[C@@H](CCCC)CC)c1ccc(s1)/C=C\1/SC(=[N+](C1=O)CC)C(C#N)C#N)CC
529,10.1039/c8ta02633e,CCCC[C@H](C[N+]1=C(c2ccc(s2)C#Cc2sc(c(c2CCCCCC)CCCCCC)C[C@@H]2SC(=C(C#N)C#N)[N+](C2=O)CC)[C@H]2[C@@H](C1=O)C(=[N+](C2=O)C[C@@H](CCCC)CC)c1ccc(s1)C#Cc1sc(c(c1CCCCCC)CCCCCC)C[C@@H]1SC(=C(C#N)C#N)[N+](C1=O)CC)CC
561,10.1039/c6ta05303c,CCCC[C@H](C[C@@H]1C(O)C2CCC(C3C2C(C1O)CCC3)C1CCC(S1)C(CC1CC(OC)C(CC1OC)CC(C1CCC(S1)C1CCC2C3C1CCCC3C(N(C2O)C[C@@H](CCCC)CC)O)CN)CN)CC
564,10.1021/acs.chemmater.8b00287,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F
565,10.1016/j.cclet.2019.01.031,CCCCCCCCC([C@@H]1c2cc(sc2c2c1cc1c3sc(cc3C(c1c2)(CCCCCCCC)CCCCCCCC)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cc(c(c2)F)F)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cc(c(c2)F)F)CCCCCCCC
