Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,SD,Polymer_BRICS,Solvent_BRICS,PS_pair_BRICS,PS_tokenized_BRICS,SP_tokenized_BRICS
PDMS,C[Si](C)(C)OC,Hexane,CCCCCC,41.41,"['CO[Si](C)(C)C', '.', 'CCCCCC']",['CCCCCC'],"['CO[Si](C)(C)C', '.', 'CCCCCC']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3]",
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Hexane,CCCCCC,8.75,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CCCCCC']",['CCCCCC'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CCCCCC']","[0, 0, 0, 4, 5, 5, 6, 7, 8, 1, 3]",
PAN,CCC(C)C#N,Hexane,CCCCCC,0.17,"['CCC(C)C#N', '.', 'CCCCCC']",['CCCCCC'],"['CCC(C)C#N', '.', 'CCCCCC']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 3]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Hexane,CCCCCC,1.25,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CCCCCC']",['CCCCCC'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CCCCCC']","[0, 0, 0, 0, 0, 0, 0, 10, 11, 1, 3]",
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Hexane,CCCCCC,1.19,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CCCCCC']",['CCCCCC'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CCCCCC']","[0, 0, 0, 10, 12, 4, 13, 14, 15, 1, 3]",
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Hexane,CCCCCC,1.15,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCCCCC']",['CCCCCC'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCCCCC']","[0, 0, 16, 17, 14, 18, 19, 13, 14, 1, 3]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Hexane,CCCCCC,3.57,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCCCCC']",['CCCCCC'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCCCCC']","[0, 0, 0, 0, 0, 16, 17, 19, 20, 1, 3]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Hexane,CCCCCC,0.83,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCCCCC']",['CCCCCC'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCCCCC']","[0, 0, 0, 16, 4, 13, 15, 14, 19, 1, 3]",
PDMS,C[Si](C)(C)OC,Toluene,c1ccccc1C,35.18,"['CO[Si](C)(C)C', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CO[Si](C)(C)C', '.', 'Cc1ccccc1']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 14]",
PAN,CCC(C)C#N,Toluene,c1ccccc1C,2.25,"['CCC(C)C#N', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CCC(C)C#N', '.', 'Cc1ccccc1']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 14]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Toluene,c1ccccc1C,5.04,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'Cc1ccccc1']","[0, 0, 0, 0, 0, 0, 0, 10, 11, 1, 14]",
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Toluene,c1ccccc1C,17.61,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'Cc1ccccc1']","[0, 0, 0, 10, 12, 4, 13, 14, 15, 1, 14]",
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Toluene,c1ccccc1C,3.29,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'Cc1ccccc1']","[0, 0, 16, 17, 14, 18, 19, 13, 14, 1, 14]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Toluene,c1ccccc1C,19.28,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'Cc1ccccc1']","[0, 0, 0, 0, 0, 16, 17, 19, 20, 1, 14]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Toluene,c1ccccc1C,4.13,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'Cc1ccccc1']","[0, 0, 0, 16, 4, 13, 15, 14, 19, 1, 14]",
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,EA,CCOC(=O)C,16.91,"['CCC', 'CC[Si](C)(C)C', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CCC', 'CC[Si](C)(C)C', '.', 'CC=O', 'O', 'CC']","[0, 0, 0, 0, 0, 15, 21, 1, 22, 4, 23]",
PDMS,C[Si](C)(C)OC,EA,CCOC(=O)C,26.91,"['CO[Si](C)(C)C', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CO[Si](C)(C)C', '.', 'CC=O', 'O', 'CC']","[0, 0, 0, 0, 0, 0, 2, 1, 22, 4, 23]",
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,EA,CCOC(=O)C,15.65,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC=O', 'O', 'CC']","[0, 4, 5, 5, 6, 7, 8, 1, 22, 4, 23]",
PAN,CCC(C)C#N,EA,CCOC(=O)C,0.27,"['CCC(C)C#N', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CCC(C)C#N', '.', 'CC=O', 'O', 'CC']","[0, 0, 0, 0, 0, 0, 9, 1, 22, 4, 23]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,EA,CCOC(=O)C,8.63,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC=O', 'O', 'CC']","[0, 0, 0, 0, 0, 10, 11, 1, 22, 4, 23]",
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,EA,CCOC(=O)C,9.2,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CC=O', 'O', 'CC']","[0, 10, 12, 4, 13, 14, 15, 1, 22, 4, 23]",
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,EA,CCOC(=O)C,4.0,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CC=O', 'O', 'CC']","[16, 17, 14, 18, 19, 13, 14, 1, 22, 4, 23]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,EA,CCOC(=O)C,15.08,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CC=O', 'O', 'CC']","[0, 0, 0, 16, 17, 19, 20, 1, 22, 4, 23]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,EA,CCOC(=O)C,6.15,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CC=O', 'O', 'CC']","[0, 16, 4, 13, 15, 14, 19, 1, 22, 4, 23]",
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,MEK,CCC(=O)C,18.07,"['CCC', 'CC[Si](C)(C)C', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CCC', 'CC[Si](C)(C)C', '.', 'CCC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 15, 21, 1, 24]",
PDMS,C[Si](C)(C)OC,MEK,CCC(=O)C,21.08,"['CO[Si](C)(C)C', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CO[Si](C)(C)C', '.', 'CCC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 24]",
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,MEK,CCC(=O)C,19.32,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CCC(C)=O']",['CCC(C)=O'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CCC(C)=O']","[0, 0, 0, 4, 5, 5, 6, 7, 8, 1, 24]",
PAN,CCC(C)C#N,MEK,CCC(=O)C,0.3,"['CCC(C)C#N', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CCC(C)C#N', '.', 'CCC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 24]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,MEK,CCC(=O)C,11.79,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CCC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 10, 11, 1, 24]",
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,MEK,CCC(=O)C,11.17,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CCC(C)=O']","[0, 0, 0, 10, 12, 4, 13, 14, 15, 1, 24]",
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,MEK,CCC(=O)C,5.43,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCC(C)=O']","[0, 0, 16, 17, 14, 18, 19, 13, 14, 1, 24]",
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,MEK,CCC(=O)C,17.01,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCC(C)=O']","[0, 0, 0, 0, 0, 16, 17, 19, 20, 1, 24]",
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,MEK,CCC(=O)C,6.94,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(C)=O']","[0, 0, 0, 16, 4, 13, 15, 14, 19, 1, 24]",
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Acetone,CC(=O)C,12.92,"['CCC', 'CC[Si](C)(C)C', '.', 'CC(C)=O']",['CC(C)=O'],"['CCC', 'CC[Si](C)(C)C', '.', 'CC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 15, 21, 1, 25]",
PDMS,C[Si](C)(C)OC,Acetone,CC(=O)C,9.28,"['CO[Si](C)(C)C', '.', 'CC(C)=O']",['CC(C)=O'],"['CO[Si](C)(C)C', '.', 'CC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25]",
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Acetone,CC(=O)C,12.98,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC(C)=O']",['CC(C)=O'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC(C)=O']","[0, 0, 0, 4, 5, 5, 6, 7, 8, 1, 25]",
PAN,CCC(C)C#N,Acetone,CC(=O)C,0.27,"['CCC(C)C#N', '.', 'CC(C)=O']",['CC(C)=O'],"['CCC(C)C#N', '.', 'CC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 25]",
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Acetone,CC(=O)C,11.82,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC(C)=O']",['CC(C)=O'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC(C)=O']","[0, 0, 0, 0, 0, 0, 0, 10, 11, 1, 25]",
