Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES,Polymer_BigSMILES,Solvent_BigSMILES,PS_manual_tokenized,SP_manual_tokenized,PS_manual_tokenized_aug,SP_manual_tokenized_aug
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,EA,CCOC(=O)C,"[2, 1, 0, 1, 6, 2, 0, 0, 3, 0, 0, 0]",4.0,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][O][C][Branch1_2][C][=O][C],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},CCOC(=O)C,"[0, 14, 15, 16, 12, 10, 17, 12, 1, 21]","[0, 21, 1, 14, 15, 16, 12, 10, 17, 12]","[[0, 14, 15, 16, 12, 10, 17, 12, 1, 21], [0, 12, 14, 15, 16, 12, 10, 17, 1, 21], [0, 17, 12, 14, 15, 16, 12, 10, 1, 21], [0, 10, 17, 12, 14, 15, 16, 12, 1, 21], [0, 12, 10, 17, 12, 14, 15, 16, 1, 21], [0, 16, 12, 10, 17, 12, 14, 15, 1, 21], [0, 15, 16, 12, 10, 17, 12, 14, 1, 21]]","[[0, 21, 1, 14, 15, 16, 12, 10, 17, 12], [0, 21, 1, 12, 14, 15, 16, 12, 10, 17], [0, 21, 1, 17, 12, 14, 15, 16, 12, 10], [0, 21, 1, 10, 17, 12, 14, 15, 16, 12], [0, 21, 1, 12, 10, 17, 12, 14, 15, 16], [0, 21, 1, 16, 12, 10, 17, 12, 14, 15], [0, 21, 1, 15, 16, 12, 10, 17, 12, 14]]"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,EA,CCOC(=O)C,"[5, 2, 0, 1, 6, 2, 0, 0, 4, 0, 0, 0]",15.08,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][O][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},CCOC(=O)C,"[0, 0, 0, 16, 15, 14, 10, 18, 1, 21]","[0, 0, 0, 21, 1, 16, 15, 14, 10, 18]","[[0, 0, 0, 16, 15, 14, 10, 18, 1, 21], [0, 0, 0, 18, 16, 15, 14, 10, 1, 21], [0, 0, 0, 10, 18, 16, 15, 14, 1, 21], [0, 0, 0, 14, 10, 18, 16, 15, 1, 21], [0, 0, 0, 15, 14, 10, 18, 16, 1, 21]]","[[0, 0, 0, 21, 1, 16, 15, 14, 10, 18], [0, 0, 0, 21, 1, 18, 16, 15, 14, 10], [0, 0, 0, 21, 1, 10, 18, 16, 15, 14], [0, 0, 0, 21, 1, 14, 10, 18, 16, 15], [0, 0, 0, 21, 1, 15, 14, 10, 18, 16]]"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,EA,CCOC(=O)C,"[4, 1, 0, 3, 5, 2, 0, 0, 5, 0, 0, 0]",6.15,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][O][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CCOC(=O)C,"[16, 13, 10, 2, 10, 13, 14, 12, 1, 21]","[21, 1, 16, 13, 10, 2, 10, 13, 14, 12]","[[16, 13, 10, 2, 10, 13, 14, 12, 1, 21], [12, 16, 13, 10, 2, 10, 13, 14, 1, 21], [14, 12, 16, 13, 10, 2, 10, 13, 1, 21], [13, 14, 12, 16, 13, 10, 2, 10, 1, 21], [10, 13, 14, 12, 16, 13, 10, 2, 1, 21], [2, 10, 13, 14, 12, 16, 13, 10, 1, 21], [10, 2, 10, 13, 14, 12, 16, 13, 1, 21], [13, 10, 2, 10, 13, 14, 12, 16, 1, 21]]","[[21, 1, 16, 13, 10, 2, 10, 13, 14, 12], [21, 1, 12, 16, 13, 10, 2, 10, 13, 14], [21, 1, 14, 12, 16, 13, 10, 2, 10, 13], [21, 1, 13, 14, 12, 16, 13, 10, 2, 10], [21, 1, 10, 13, 14, 12, 16, 13, 10, 2], [21, 1, 2, 10, 13, 14, 12, 16, 13, 10], [21, 1, 10, 2, 10, 13, 14, 12, 16, 13], [21, 1, 13, 10, 2, 10, 13, 14, 12, 16]]"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,MEK,CCC(=O)C,"[6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",18.07,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][C][C][Branch1_2][C][=O][C],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},CCC(=O)C,"[0, 0, 0, 0, 0, 0, 2, 3, 1, 22]","[0, 0, 0, 0, 0, 0, 22, 1, 2, 3]","[[0, 0, 0, 0, 0, 0, 2, 3, 1, 22], [0, 0, 0, 0, 0, 0, 3, 2, 1, 22]]","[[0, 0, 0, 0, 0, 0, 22, 1, 2, 3], [0, 0, 0, 0, 0, 0, 22, 1, 3, 2]]"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,MEK,CCC(=O)C,"[2, 576, 0, 75, 26, 25, 0, 0, 0, 0, 0, 0]",19.32,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][C][C][Branch1_2][C][=O][C],{[][<]CNCCCCCCCCCCCC=O[>][<]}{[>][<]CCCCCOCCCCOCCCCCO[>][]},CCC(=O)C,"[0, 0, 0, 0, 0, 0, 6, 7, 1, 22]","[0, 0, 0, 0, 0, 0, 22, 1, 6, 7]","[[0, 0, 0, 0, 0, 0, 6, 7, 1, 22], [0, 0, 0, 0, 0, 0, 7, 6, 1, 22]]","[[0, 0, 0, 0, 0, 0, 22, 1, 6, 7], [0, 0, 0, 0, 0, 0, 22, 1, 7, 6]]"
PAN,CCC(C)C#N,MEK,CCC(=O)C,"[2, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.3,[C][C][C][Branch1_1][C][C][C][#N],[C][C][C][Branch1_2][C][=O][C],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},CCC(=O)C,"[0, 0, 0, 0, 0, 0, 8, 9, 1, 22]","[0, 0, 0, 0, 0, 0, 22, 1, 8, 9]","[[0, 0, 0, 0, 0, 0, 8, 9, 1, 22], [0, 0, 0, 0, 0, 0, 9, 8, 1, 22]]","[[0, 0, 0, 0, 0, 0, 22, 1, 8, 9], [0, 0, 0, 0, 0, 0, 22, 1, 9, 8]]"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,MEK,CCC(=O)C,"[2, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0]",11.79,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][C][C][Branch1_2][C][=O][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 22]","[0, 0, 0, 0, 22, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 22], [0, 0, 0, 0, 12, 5, 10, 11, 1, 22], [0, 0, 0, 0, 11, 12, 5, 10, 1, 22], [0, 0, 0, 0, 10, 11, 12, 5, 1, 22]]","[[0, 0, 0, 0, 22, 1, 5, 10, 11, 12], [0, 0, 0, 0, 22, 1, 12, 5, 10, 11], [0, 0, 0, 0, 22, 1, 11, 12, 5, 10], [0, 0, 0, 0, 22, 1, 10, 11, 12, 5]]"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,MEK,CCC(=O)C,"[4, 1, 0, 2, 1, 0, 0, 1, 4, 0, 0, 0]",11.17,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][C][Branch1_2][C][=O][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"[5, 10, 11, 10, 13, 10, 2, 12, 1, 22]","[22, 1, 5, 10, 11, 10, 13, 10, 2, 12]","[[5, 10, 11, 10, 13, 10, 2, 12, 1, 22], [12, 5, 10, 11, 10, 13, 10, 2, 1, 22], [2, 12, 5, 10, 11, 10, 13, 10, 1, 22], [10, 2, 12, 5, 10, 11, 10, 13, 1, 22], [13, 10, 2, 12, 5, 10, 11, 10, 1, 22], [10, 13, 10, 2, 12, 5, 10, 11, 1, 22], [11, 10, 13, 10, 2, 12, 5, 10, 1, 22], [10, 11, 10, 13, 10, 2, 12, 5, 1, 22]]","[[22, 1, 5, 10, 11, 10, 13, 10, 2, 12], [22, 1, 12, 5, 10, 11, 10, 13, 10, 2], [22, 1, 2, 12, 5, 10, 11, 10, 13, 10], [22, 1, 10, 2, 12, 5, 10, 11, 10, 13], [22, 1, 13, 10, 2, 12, 5, 10, 11, 10], [22, 1, 10, 13, 10, 2, 12, 5, 10, 11], [22, 1, 11, 10, 13, 10, 2, 12, 5, 10], [22, 1, 10, 11, 10, 13, 10, 2, 12, 5]]"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,MEK,CCC(=O)C,"[2, 1, 0, 0, 6, 2, 0, 0, 3, 0, 0, 0]",5.43,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][C][Branch1_2][C][=O][C],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"[0, 14, 15, 16, 12, 10, 17, 12, 1, 22]","[0, 22, 1, 14, 15, 16, 12, 10, 17, 12]","[[0, 14, 15, 16, 12, 10, 17, 12, 1, 22], [0, 12, 14, 15, 16, 12, 10, 17, 1, 22], [0, 17, 12, 14, 15, 16, 12, 10, 1, 22], [0, 10, 17, 12, 14, 15, 16, 12, 1, 22], [0, 12, 10, 17, 12, 14, 15, 16, 1, 22], [0, 16, 12, 10, 17, 12, 14, 15, 1, 22], [0, 15, 16, 12, 10, 17, 12, 14, 1, 22]]","[[0, 22, 1, 14, 15, 16, 12, 10, 17, 12], [0, 22, 1, 12, 14, 15, 16, 12, 10, 17], [0, 22, 1, 17, 12, 14, 15, 16, 12, 10], [0, 22, 1, 10, 17, 12, 14, 15, 16, 12], [0, 22, 1, 12, 10, 17, 12, 14, 15, 16], [0, 22, 1, 16, 12, 10, 17, 12, 14, 15], [0, 22, 1, 15, 16, 12, 10, 17, 12, 14]]"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,MEK,CCC(=O)C,"[5, 2, 0, 0, 6, 2, 0, 0, 4, 0, 0, 0]",17.01,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},CCC(=O)C,"[0, 0, 0, 16, 15, 14, 10, 18, 1, 22]","[0, 0, 0, 22, 1, 16, 15, 14, 10, 18]","[[0, 0, 0, 16, 15, 14, 10, 18, 1, 22], [0, 0, 0, 18, 16, 15, 14, 10, 1, 22], [0, 0, 0, 10, 18, 16, 15, 14, 1, 22], [0, 0, 0, 14, 10, 18, 16, 15, 1, 22], [0, 0, 0, 15, 14, 10, 18, 16, 1, 22]]","[[0, 0, 0, 22, 1, 16, 15, 14, 10, 18], [0, 0, 0, 22, 1, 18, 16, 15, 14, 10], [0, 0, 0, 22, 1, 10, 18, 16, 15, 14], [0, 0, 0, 22, 1, 14, 10, 18, 16, 15], [0, 0, 0, 22, 1, 15, 14, 10, 18, 16]]"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,MEK,CCC(=O)C,"[4, 1, 0, 2, 5, 2, 0, 0, 5, 0, 0, 0]",6.94,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"[16, 13, 10, 2, 10, 13, 14, 12, 1, 22]","[22, 1, 16, 13, 10, 2, 10, 13, 14, 12]","[[16, 13, 10, 2, 10, 13, 14, 12, 1, 22], [12, 16, 13, 10, 2, 10, 13, 14, 1, 22], [14, 12, 16, 13, 10, 2, 10, 13, 1, 22], [13, 14, 12, 16, 13, 10, 2, 10, 1, 22], [10, 13, 14, 12, 16, 13, 10, 2, 1, 22], [2, 10, 13, 14, 12, 16, 13, 10, 1, 22], [10, 2, 10, 13, 14, 12, 16, 13, 1, 22], [13, 10, 2, 10, 13, 14, 12, 16, 1, 22]]","[[22, 1, 16, 13, 10, 2, 10, 13, 14, 12], [22, 1, 12, 16, 13, 10, 2, 10, 13, 14], [22, 1, 14, 12, 16, 13, 10, 2, 10, 13], [22, 1, 13, 14, 12, 16, 13, 10, 2, 10], [22, 1, 10, 13, 14, 12, 16, 13, 10, 2], [22, 1, 2, 10, 13, 14, 12, 16, 13, 10], [22, 1, 10, 2, 10, 13, 14, 12, 16, 13], [22, 1, 13, 10, 2, 10, 13, 14, 12, 16]]"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Acetone,CC(=O)C,"[6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",12.92,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][C][Branch1_2][C][=O][C],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},CC(=O)C,"[0, 0, 0, 0, 0, 0, 2, 3, 1, 23]","[0, 0, 0, 0, 0, 0, 23, 1, 2, 3]","[[0, 0, 0, 0, 0, 0, 2, 3, 1, 23], [0, 0, 0, 0, 0, 0, 3, 2, 1, 23]]","[[0, 0, 0, 0, 0, 0, 23, 1, 2, 3], [0, 0, 0, 0, 0, 0, 23, 1, 3, 2]]"
PDMS,C[Si](C)(C)OC,Acetone,CC(=O)C,"[4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",9.28,[C][Siexpl][Branch1_1][C][C][Branch1_1][C][C][O][C],[C][C][Branch1_2][C][=O][C],{[][<]C[Si](C)C[>][<]}{[>][<]CO[>][]},CC(=O)C,"[0, 0, 0, 0, 0, 0, 4, 5, 1, 23]","[0, 0, 0, 0, 0, 0, 23, 1, 4, 5]","[[0, 0, 0, 0, 0, 0, 4, 5, 1, 23], [0, 0, 0, 0, 0, 0, 5, 4, 1, 23]]","[[0, 0, 0, 0, 0, 0, 23, 1, 4, 5], [0, 0, 0, 0, 0, 0, 23, 1, 5, 4]]"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Acetone,CC(=O)C,"[2, 575, 0, 75, 26, 25, 0, 0, 0, 0, 0, 0]",12.98,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][C][Branch1_2][C][=O][C],{[][<]CNCCCCCCCCCCCC=O[>][<]}{[>][<]CCCCCOCCCCOCCCCCO[>][]},CC(=O)C,"[0, 0, 0, 0, 0, 0, 6, 7, 1, 23]","[0, 0, 0, 0, 0, 0, 23, 1, 6, 7]","[[0, 0, 0, 0, 0, 0, 6, 7, 1, 23], [0, 0, 0, 0, 0, 0, 7, 6, 1, 23]]","[[0, 0, 0, 0, 0, 0, 23, 1, 6, 7], [0, 0, 0, 0, 0, 0, 23, 1, 7, 6]]"
PAN,CCC(C)C#N,Acetone,CC(=O)C,"[2, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.27,[C][C][C][Branch1_1][C][C][C][#N],[C][C][Branch1_2][C][=O][C],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},CC(=O)C,"[0, 0, 0, 0, 0, 0, 8, 9, 1, 23]","[0, 0, 0, 0, 0, 0, 23, 1, 8, 9]","[[0, 0, 0, 0, 0, 0, 8, 9, 1, 23], [0, 0, 0, 0, 0, 0, 9, 8, 1, 23]]","[[0, 0, 0, 0, 0, 0, 23, 1, 8, 9], [0, 0, 0, 0, 0, 0, 23, 1, 9, 8]]"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Acetone,CC(=O)C,"[2, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0]",11.82,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][C][Branch1_2][C][=O][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},CC(=O)C,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 23]","[0, 0, 0, 0, 23, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 23], [0, 0, 0, 0, 12, 5, 10, 11, 1, 23], [0, 0, 0, 0, 11, 12, 5, 10, 1, 23], [0, 0, 0, 0, 10, 11, 12, 5, 1, 23]]","[[0, 0, 0, 0, 23, 1, 5, 10, 11, 12], [0, 0, 0, 0, 23, 1, 12, 5, 10, 11], [0, 0, 0, 0, 23, 1, 11, 12, 5, 10], [0, 0, 0, 0, 23, 1, 10, 11, 12, 5]]"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Acetone,CC(=O)C,"[4, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 0]",7.61,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][Branch1_2][C][=O][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},CC(=O)C,"[5, 10, 11, 10, 13, 10, 2, 12, 1, 23]","[23, 1, 5, 10, 11, 10, 13, 10, 2, 12]","[[5, 10, 11, 10, 13, 10, 2, 12, 1, 23], [12, 5, 10, 11, 10, 13, 10, 2, 1, 23], [2, 12, 5, 10, 11, 10, 13, 10, 1, 23], [10, 2, 12, 5, 10, 11, 10, 13, 1, 23], [13, 10, 2, 12, 5, 10, 11, 10, 1, 23], [10, 13, 10, 2, 12, 5, 10, 11, 1, 23], [11, 10, 13, 10, 2, 12, 5, 10, 1, 23], [10, 11, 10, 13, 10, 2, 12, 5, 1, 23]]","[[23, 1, 5, 10, 11, 10, 13, 10, 2, 12], [23, 1, 12, 5, 10, 11, 10, 13, 10, 2], [23, 1, 2, 12, 5, 10, 11, 10, 13, 10], [23, 1, 10, 2, 12, 5, 10, 11, 10, 13], [23, 1, 13, 10, 2, 12, 5, 10, 11, 10], [23, 1, 10, 13, 10, 2, 12, 5, 10, 11], [23, 1, 11, 10, 13, 10, 2, 12, 5, 10], [23, 1, 10, 11, 10, 13, 10, 2, 12, 5]]"
